x_m,y_m,w_tr_right_m,w_tr_left_m,psi_rad,kappa_radpm,vx_mps
0.413553,-7.257790,0.948659,0.451341,0.047389,-0.730562,4.939789
0.657414,-7.267811,0.945865,0.454135,-0.018214,0.187519,5.004424
0.901265,-7.266675,0.952192,0.447808,0.026480,0.179124,5.047408
1.144713,-7.254904,0.970936,0.429064,0.069119,0.170978,5.071623
1.387210,-7.233033,0.951587,0.351513,0.110385,0.168263,5.079950
1.628142,-7.201323,0.985139,0.314861,0.151298,0.168885,5.075270
1.866667,-7.159934,1.042185,0.295015,0.193938,0.183894,5.060463
2.101808,-7.108292,1.162017,0.335783,0.240456,0.202441,5.038411
2.333315,-7.045512,1.197229,0.309471,0.288925,0.201742,5.011994
2.560843,-6.971848,1.306413,0.369387,0.338733,0.215224,4.984094
2.783436,-6.886929,1.366663,0.396937,0.391200,0.224878,4.957592
3.000957,-6.790319,1.408372,0.428528,0.443660,0.215393,4.935365
3.213810,-6.682390,1.427433,0.460167,0.492552,0.194262,4.920291
3.422348,-6.564170,1.423140,0.485960,0.536623,0.173618,4.915245
3.626739,-6.436760,1.404687,0.511813,0.576630,0.158660,4.923106
3.827183,-6.300881,1.355165,0.521435,0.613213,0.143386,4.944533
4.024180,-6.157076,1.296069,0.534331,0.645684,0.122890,4.971309
4.218433,-6.006107,1.243890,0.560910,0.674122,0.108331,4.992996
4.410436,-5.848463,1.193523,0.595577,0.700180,0.101331,4.999152
4.600597,-5.684097,1.134860,0.629340,0.725050,0.096353,4.979336
4.789403,-5.512682,1.102793,0.696107,0.749868,0.097914,4.923106
4.977169,-5.333377,1.055317,0.756183,0.777734,0.116039,4.822961
5.163259,-5.144512,1.015101,0.840299,0.815883,0.170609,4.683169
5.344262,-4.943190,0.948142,0.902758,0.870739,0.234037,4.510942
5.515166,-4.726762,0.894223,0.971477,0.942802,0.288652,4.313512
5.670720,-4.493553,0.849624,1.039376,1.032321,0.349598,4.098117
5.804870,-4.241787,0.819823,1.103477,1.141949,0.417872,3.871986
5.910111,-3.969981,0.758494,1.110506,1.274340,0.489901,3.642353
5.976944,-3.678454,0.745100,1.138300,1.431348,0.558772,3.415911
5.994364,-3.369711,0.738297,1.139703,1.617336,0.633143,3.197224
5.947471,-3.045609,0.680126,1.052374,1.841871,0.720541,2.990297
5.812380,-2.714894,0.667223,0.970577,2.108858,0.820639,2.799280
5.577443,-2.425587,0.628925,0.841575,2.406855,0.803158,2.628246
5.252460,-2.209014,0.671678,0.777622,2.760830,1.052196,2.480859
4.852083,-2.135228,0.763820,0.763080,-3.092911,1.259948,2.361600
4.484180,-2.246444,0.788383,0.717917,-2.643397,1.277848,2.272953
4.237826,-2.469360,0.720223,0.634277,-2.297230,0.761600,2.211560
